state_name,state_code,date,day_num,pfe_dose_1,pfe_dose_2,mrna_dose_1,mrna_dose_2,jnj_dose_1
Idaho,ID,04/05/2021,112,22230,22230,16600.0,16600.0,23800.0
Oregon,OR,04/05/2021,112,57330,57330,42700.0,42700.0,61400.0
Washington,WA,04/05/2021,112,100620,100620,75700.0,75700.0,109000.0
Federal Entities,,04/05/2021,112,243360,243360,143000.0,143000.0,84600.0
Connecticut,CT,03/29/2021,105,60840,60840,35800.0,35800.0,21200.0
Maine,ME,03/29/2021,105,23400,23400,13700.0,13700.0,8100.0
Massachusetts,MA,03/29/2021,105,117000,117000,69000.0,69000.0,40800.0
New Hampshire,NH,03/29/2021,105,23400,23400,13700.0,13700.0,8100.0
Rhode Island,RI,03/29/2021,105,18720,18720,10800.0,10800.0,6400.0
Vermont,VT,03/29/2021,105,11700,11700,6500.0,6500.0,3900.0
New Jersey,NJ,03/29/2021,105,148590,148590,87400.0,87400.0,51700.0
New York,NY,03/29/2021,105,188370,188370,111300.0,111300.0,65800.0
New York City,,03/29/2021,105,143910,143910,84500.0,84500.0,49900.0
Puerto Rico,PR,03/29/2021,105,58500,58500,34200.0,34200.0,20300.0
U.S. Virgin Islands,,03/29/2021,105,2340,2340,1100.0,1100.0,700.0
Delaware,DE,03/29/2021,105,16380,16380,9500.0,9500.0,5600.0
District of Columbia,DC,03/29/2021,105,12870,12870,7200.0,7200.0,4300.0
Maryland,MD,03/29/2021,105,100620,100620,59000.0,59000.0,34900.0
Pennsylvania,PA,03/29/2021,105,190710,190710,112400.0,112400.0,66400.0
Philadelphia,,03/29/2021,105,26910,26910,15600.0,15600.0,9200.0
Virginia,VA,03/29/2021,105,140400,140400,82800.0,82800.0,49000.0
West Virginia,WV,03/29/2021,105,31590,31590,18500.0,18500.0,11000.0
Alabama,AL,03/29/2021,105,80730,80730,47700.0,47700.0,28300.0
Florida,FL,03/29/2021,105,352170,352170,208000.0,208000.0,122900.0
Georgia,GA,03/29/2021,105,167310,167310,98600.0,98600.0,58400.0
