,state_name,state_code,date,day_num,pfe_dose_1,pfe_dose_2,mrna_dose_1,mrna_dose_2,jnj_dose_1
40,Missouri,MO,04/19/2021,126,90090,90090,67100.0,67100.0,0.0
41,Nebraska,NE,04/19/2021,126,28080,28080,20700.0,20700.0,0.0
42,Colorado,CO,04/19/2021,126,81900,81900,60900.0,60900.0,0.0
43,Montana,MT,04/19/2021,126,16380,16380,11700.0,11700.0,0.0
44,North Dakota,ND,04/19/2021,126,11700,11700,8500.0,8500.0,0.0
45,South Dakota,SD,04/19/2021,126,12870,12870,9300.0,9300.0,0.0
46,Utah,UT,04/19/2021,126,40950,40950,30500.0,30500.0,0.0
47,Wyoming,WY,04/19/2021,126,9360,9360,6400.0,6400.0,0.0
48,Arizona,AZ,04/19/2021,126,102960,102960,76200.0,76200.0,0.0
49,California,CA,04/19/2021,126,575640,575640,428600.0,428600.0,0.0
50,Hawaii,HI,04/19/2021,126,22230,22230,15900.0,15900.0,0.0
51,Nevada,NV,04/19/2021,126,43290,43290,32100.0,32100.0,0.0
52,American Samoa,AS,04/19/2021,126,0,0,0.0,0.0,0.0
53,Guam,GU,04/19/2021,126,0,0,0.0,0.0,0.0
54,Marshall Islands,MH,04/19/2021,126,0,0,0.0,0.0,0.0
55,Micronesia,FM,04/19/2021,126,0,0,0.0,0.0,0.0
56,Mariana Islands,,04/19/2021,126,0,0,0.0,0.0,0.0
57,Palau,PW,04/19/2021,126,0,0,0.0,0.0,0.0
58,Alaska,AK,04/19/2021,126,0,0,0.0,0.0,0.0
59,Idaho,ID,04/19/2021,126,24570,24570,17800.0,17800.0,0.0
60,Oregon,OR,04/19/2021,126,62010,62010,46000.0,46000.0,0.0
61,Washington,WA,04/19/2021,126,109980,109980,81700.0,81700.0,0.0
62,Federal Entities,,04/19/2021,126,203580,203580,149400.0,149400.0,0.0
63,Connecticut,CT,04/12/2021,119,51480,51480,37400.0,37400.0,6400.0
64,Maine,ME,04/12/2021,119,19890,19890,14300.0,14300.0,2500.0
65,Massachusetts,MA,04/12/2021,119,97110,97110,72100.0,72100.0,12300.0
66,New Hampshire,NH,04/12/2021,119,19890,19890,14300.0,14300.0,2500.0
67,Rhode Island,RI,04/12/2021,119,15210,15210,11300.0,11300.0,2000.0
68,Vermont,VT,04/12/2021,119,9360,9360,6700.0,6700.0,1200.0
69,New Jersey,NJ,04/12/2021,119,124020,124020,91300.0,91300.0,15600.0
70,New York,NY,04/12/2021,119,156780,156780,116300.0,116300.0,19800.0
71,New York City,,04/12/2021,119,119340,119340,88300.0,88300.0,15100.0
72,Puerto Rico,PR,04/12/2021,119,49140,49140,35700.0,35700.0,6100.0
73,U.S. Virgin Islands,,04/12/2021,119,2340,2340,1100.0,1100.0,200.0
74,Delaware,DE,04/12/2021,119,14040,14040,9900.0,9900.0,1700.0
75,District of Columbia,DC,04/12/2021,119,10530,10530,7500.0,7500.0,1300.0
76,Maryland,MD,04/12/2021,119,83070,83070,61600.0,61600.0,10500.0
77,Pennsylvania,PA,04/12/2021,119,159120,159120,117500.0,117500.0,20000.0
78,Philadelphia,,04/12/2021,119,22230,22230,16300.0,16300.0,2800.0
79,Virginia,VA,04/12/2021,119,117000,117000,86500.0,86500.0,14800.0
80,West Virginia,WV,04/12/2021,119,26910,26910,19300.0,19300.0,3300.0
81,Alabama,AL,04/12/2021,119,67860,67860,49800.0,49800.0,8500.0
82,Florida,FL,04/12/2021,119,293670,293670,217400.0,217400.0,37000.0
83,Georgia,GA,04/12/2021,119,139230,139230,103000.0,103000.0,17600.0
84,Kentucky,KY,04/12/2021,119,62010,62010,45300.0,45300.0,7800.0
85,Mississippi,MS,04/12/2021,119,40950,40950,30000.0,30000.0,5100.0
86,North Carolina,NC,04/12/2021,119,140400,140400,103900.0,103900.0,17700.0
87,South Carolina,SC,04/12/2021,119,69030,69030,51000.0,51000.0,8700.0
88,Tennessee,TN,04/12/2021,119,92430,92430,68100.0,68100.0,11600.0
89,Chicago,,04/12/2021,119,37440,37440,27700.0,27700.0,4800.0
90,Illinois,IL,04/12/2021,119,139230,139230,103100.0,103100.0,17600.0
91,Indiana,IN,04/12/2021,119,91260,91260,66900.0,66900.0,11400.0
92,Michigan,MI,04/12/2021,119,139230,139230,102600.0,102600.0,17500.0
93,Minnesota,MN,04/12/2021,119,76050,76050,56200.0,56200.0,9600.0
94,Ohio,OH,04/12/2021,119,161460,161460,119300.0,119300.0,20300.0
95,Wisconsin,WI,04/12/2021,119,80730,80730,59700.0,59700.0,10200.0
96,Arkansas,AR,04/12/2021,119,40950,40950,30200.0,30200.0,5200.0
97,Louisiana,LA,04/12/2021,119,64350,64350,47000.0,47000.0,8000.0
98,New Mexico,NM,04/12/2021,119,29250,29250,21400.0,21400.0,3700.0
99,Oklahoma,OK,04/12/2021,119,53820,53820,39200.0,39200.0,6700.0
100,Texas,TX,04/12/2021,119,367380,367380,272100.0,272100.0,46300.0
101,Iowa,IA,04/12/2021,119,43290,43290,31800.0,31800.0,5400.0
102,Kansas,KS,04/12/2021,119,39780,39780,29000.0,29000.0,5000.0
103,Missouri,MO,04/12/2021,119,84240,84240,62200.0,62200.0,10600.0
104,Nebraska,NE,04/12/2021,119,26910,26910,19200.0,19200.0,3300.0
105,Colorado,CO,04/12/2021,119,76050,76050,56500.0,56500.0,9700.0
106,Montana,MT,04/12/2021,119,15210,15210,10800.0,10800.0,1900.0
107,North Dakota,ND,04/12/2021,119,10530,10530,7800.0,7800.0,1400.0
108,South Dakota,SD,04/12/2021,119,11700,11700,8700.0,8700.0,1500.0
109,Utah,UT,04/12/2021,119,38610,38610,28300.0,28300.0,4900.0
110,Wyoming,WY,04/12/2021,119,8190,8190,5900.0,5900.0,1000.0
111,Arizona,AZ,04/12/2021,119,95940,95940,70600.0,70600.0,12000.0
112,California,CA,04/12/2021,119,535860,535860,397400.0,397400.0,67600.0
113,Hawaii,HI,04/12/2021,119,19890,19890,14800.0,14800.0,2600.0
114,Nevada,NV,04/12/2021,119,40950,40950,29800.0,29800.0,5100.0
115,American Samoa,AS,04/12/2021,119,0,0,0.0,0.0,0.0
116,Guam,GU,04/12/2021,119,0,0,0.0,0.0,0.0
117,Marshall Islands,MH,04/12/2021,119,0,0,0.0,0.0,0.0
118,Micronesia,FM,04/12/2021,119,0,0,0.0,0.0,0.0
119,Mariana Islands,,04/12/2021,119,0,0,0.0,0.0,0.0
120,Palau,PW,04/12/2021,119,0,0,0.0,0.0,0.0
121,Alaska,AK,04/12/2021,119,0,0,0.0,0.0,1900.0
122,Idaho,ID,04/12/2021,119,23400,23400,16600.0,16600.0,2900.0
123,Oregon,OR,04/12/2021,119,58500,58500,42700.0,42700.0,7300.0
124,Washington,WA,04/12/2021,119,102960,102960,75700.0,75700.0,12900.0
125,Federal Entities,,04/12/2021,119,201240,201240,149400.0,149400.0,129600.0
126,Connecticut,CT,04/05/2021,112,50310,50310,37400.0,37400.0,53900.0
127,Maine,ME,04/05/2021,112,19890,19890,14300.0,14300.0,20600.0
128,Massachusetts,MA,04/05/2021,112,95940,95940,72100.0,72100.0,103800.0
129,New Hampshire,NH,04/05/2021,112,19890,19890,14300.0,14300.0,20600.0
130,Rhode Island,RI,04/05/2021,112,15210,15210,11300.0,11300.0,16200.0
131,Vermont,VT,04/05/2021,112,9360,9360,6700.0,6700.0,9700.0
132,New Jersey,NJ,04/05/2021,112,120510,120510,91300.0,91300.0,131600.0
133,New York,NY,04/05/2021,112,153270,153270,116300.0,116300.0,167600.0
134,New York City,,04/05/2021,112,117000,117000,88300.0,88300.0,127200.0
135,Puerto Rico,PR,04/05/2021,112,47970,47970,35700.0,35700.0,51400.0
136,U.S. Virgin Islands,,04/05/2021,112,2340,2340,1100.0,1100.0,1600.0
137,Delaware,DE,04/05/2021,112,14040,14040,9900.0,9900.0,14300.0
138,District of Columbia,DC,04/05/2021,112,10530,10530,7500.0,7500.0,10800.0
139,Maryland,MD,04/05/2021,112,81900,81900,61600.0,61600.0,88800.0
140,Pennsylvania,PA,04/05/2021,112,155610,155610,117500.0,117500.0,169200.0
141,Philadelphia,,04/05/2021,112,22230,22230,16300.0,16300.0,23500.0
142,Virginia,VA,04/05/2021,112,114660,114660,86500.0,86500.0,124700.0
143,West Virginia,WV,04/05/2021,112,25740,25740,19300.0,19300.0,27800.0
144,Alabama,AL,04/05/2021,112,66690,66690,49800.0,49800.0,71800.0
145,Florida,FL,04/05/2021,112,286650,286650,217400.0,217400.0,313200.0
146,Georgia,GA,04/05/2021,112,136890,136890,103000.0,103000.0,148500.0
147,Kentucky,KY,04/05/2021,112,60840,60840,45300.0,45300.0,65300.0
148,Mississippi,MS,04/05/2021,112,39780,39780,30000.0,30000.0,43200.0
149,North Carolina,NC,04/05/2021,112,138060,138060,103900.0,103900.0,149800.0
150,South Carolina,SC,04/05/2021,112,67860,67860,51000.0,51000.0,73500.0
151,Tennessee,TN,04/05/2021,112,90090,90090,68100.0,68100.0,98100.0
152,Chicago,,04/05/2021,112,37440,37440,27700.0,27700.0,39900.0
153,Illinois,IL,04/05/2021,112,136890,136890,103100.0,103100.0,148600.0
154,Indiana,IN,04/05/2021,112,88920,88920,66900.0,66900.0,96500.0
155,Michigan,MI,04/05/2021,112,135720,135720,102600.0,102600.0,147800.0
156,Minnesota,MN,04/05/2021,112,74880,74880,56200.0,56200.0,80800.0
157,Ohio,OH,04/05/2021,112,157950,157950,119300.0,119300.0,171900.0
158,Wisconsin,WI,04/05/2021,112,79560,79560,59700.0,59700.0,85900.0
159,Arkansas,AR,04/05/2021,112,39780,39780,30200.0,30200.0,43500.0
160,Louisiana,LA,04/05/2021,112,62010,62010,47000.0,47000.0,67700.0
161,New Mexico,NM,04/05/2021,112,29250,29250,21400.0,21400.0,30800.0
162,Oklahoma,OK,04/05/2021,112,52650,52650,39200.0,39200.0,56400.0
163,Texas,TX,04/05/2021,112,359190,359190,272100.0,272100.0,392100.0
164,Iowa,IA,04/05/2021,112,42120,42120,31800.0,31800.0,45800.0
165,Kansas,KS,04/05/2021,112,38610,38610,29000.0,29000.0,41800.0
166,Missouri,MO,04/05/2021,112,83070,83070,62200.0,62200.0,89600.0
167,Nebraska,NE,04/05/2021,112,25740,25740,19200.0,19200.0,27600.0
168,Colorado,CO,04/05/2021,112,74880,74880,56500.0,56500.0,81400.0
169,Montana,MT,04/05/2021,112,15210,15210,10800.0,10800.0,15600.0
170,North Dakota,ND,04/05/2021,112,10530,10530,7800.0,7800.0,11300.0
171,South Dakota,SD,04/05/2021,112,11700,11700,8700.0,8700.0,12500.0
172,Utah,UT,04/05/2021,112,37440,37440,28300.0,28300.0,40700.0
173,Wyoming,WY,04/05/2021,112,8190,8190,5900.0,5900.0,8500.0
174,Arizona,AZ,04/05/2021,112,93600,93600,70600.0,70600.0,101700.0
175,California,CA,04/05/2021,112,524160,524160,397400.0,397400.0,572700.0
176,Hawaii,HI,04/05/2021,112,19890,19890,14800.0,14800.0,21300.0
177,Nevada,NV,04/05/2021,112,39780,39780,29800.0,29800.0,42900.0
178,American Samoa,AS,04/05/2021,112,0,0,0.0,0.0,3700.0
179,Guam,GU,04/05/2021,112,0,0,0.0,0.0,16900.0
180,Marshall Islands,MH,04/05/2021,112,0,0,0.0,0.0,9600.0
181,Micronesia,FM,04/05/2021,112,0,0,0.0,0.0,15900.0
182,Mariana Islands,,04/05/2021,112,0,0,0.0,0.0,1600.0
183,Palau,PW,04/05/2021,112,0,0,0.0,0.0,3200.0
184,Alaska,AK,04/05/2021,112,0,0,0.0,0.0,15800.0
185,Idaho,ID,04/05/2021,112,22230,22230,16600.0,16600.0,23800.0
186,Oregon,OR,04/05/2021,112,57330,57330,42700.0,42700.0,61400.0
187,Washington,WA,04/05/2021,112,100620,100620,75700.0,75700.0,109000.0
188,Federal Entities,,04/05/2021,112,243360,243360,143000.0,143000.0,84600.0
189,Connecticut,CT,03/29/2021,105,60840,60840,35800.0,35800.0,21200.0
190,Maine,ME,03/29/2021,105,23400,23400,13700.0,13700.0,8100.0
191,Massachusetts,MA,03/29/2021,105,117000,117000,69000.0,69000.0,40800.0
192,New Hampshire,NH,03/29/2021,105,23400,23400,13700.0,13700.0,8100.0
193,Rhode Island,RI,03/29/2021,105,18720,18720,10800.0,10800.0,6400.0
194,Vermont,VT,03/29/2021,105,11700,11700,6500.0,6500.0,3900.0
195,New Jersey,NJ,03/29/2021,105,148590,148590,87400.0,87400.0,51700.0
196,New York,NY,03/29/2021,105,188370,188370,111300.0,111300.0,65800.0
197,New York City,,03/29/2021,105,143910,143910,84500.0,84500.0,49900.0
198,Puerto Rico,PR,03/29/2021,105,58500,58500,34200.0,34200.0,20300.0
199,U.S. Virgin Islands,,03/29/2021,105,2340,2340,1100.0,1100.0,700.0
200,Delaware,DE,03/29/2021,105,16380,16380,9500.0,9500.0,5600.0
201,District of Columbia,DC,03/29/2021,105,12870,12870,7200.0,7200.0,4300.0
202,Maryland,MD,03/29/2021,105,100620,100620,59000.0,59000.0,34900.0
203,Pennsylvania,PA,03/29/2021,105,190710,190710,112400.0,112400.0,66400.0
204,Philadelphia,,03/29/2021,105,26910,26910,15600.0,15600.0,9200.0
205,Virginia,VA,03/29/2021,105,140400,140400,82800.0,82800.0,49000.0
206,West Virginia,WV,03/29/2021,105,31590,31590,18500.0,18500.0,11000.0
207,Alabama,AL,03/29/2021,105,80730,80730,47700.0,47700.0,28300.0
208,Florida,FL,03/29/2021,105,352170,352170,208000.0,208000.0,122900.0
209,Georgia,GA,03/29/2021,105,167310,167310,98600.0,98600.0,58400.0
210,Kentucky,KY,03/29/2021,105,73710,73710,43400.0,43400.0,25700.0
211,Mississippi,MS,03/29/2021,105,49140,49140,28700.0,28700.0,17100.0
212,North Carolina,NC,03/29/2021,105,168480,168480,99500.0,99500.0,58800.0
213,South Carolina,SC,03/29/2021,105,83070,83070,48800.0,48800.0,28900.0
214,Tennessee,TN,03/29/2021,105,111150,111150,65200.0,65200.0,38600.0
215,Chicago,,03/29/2021,105,45630,45630,26500.0,26500.0,15700.0
216,Illinois,IL,03/29/2021,105,167310,167310,98700.0,98700.0,58400.0
217,Indiana,IN,03/29/2021,105,108810,108810,64100.0,64100.0,38000.0
218,Michigan,MI,03/29/2021,105,166140,166140,98200.0,98200.0,58100.0
219,Minnesota,MN,03/29/2021,105,91260,91260,53800.0,53800.0,31800.0
220,Ohio,OH,03/29/2021,105,194220,194220,114100.0,114100.0,67400.0
221,Wisconsin,WI,03/29/2021,105,97110,97110,57100.0,57100.0,33800.0
222,Arkansas,AR,03/29/2021,105,49140,49140,28900.0,28900.0,17200.0
223,Louisiana,LA,03/29/2021,105,77220,77220,45000.0,45000.0,26600.0
224,New Mexico,NM,03/29/2021,105,35100,35100,20500.0,20500.0,12100.0
225,Oklahoma,OK,03/29/2021,105,64350,64350,37500.0,37500.0,22200.0
226,Texas,TX,03/29/2021,105,441090,441090,260400.0,260400.0,153900.0
227,Iowa,IA,03/29/2021,105,51480,51480,30400.0,30400.0,18100.0
228,Kansas,KS,03/29/2021,105,47970,47970,27800.0,27800.0,16500.0
229,Missouri,MO,03/29/2021,105,101790,101790,59500.0,59500.0,35200.0
230,Nebraska,NE,03/29/2021,105,31590,31590,18400.0,18400.0,10900.0
231,Colorado,CO,03/29/2021,105,92430,92430,54100.0,54100.0,32000.0
232,Montana,MT,03/29/2021,105,17550,17550,10400.0,10400.0,6100.0
233,North Dakota,ND,03/29/2021,105,12870,12870,7500.0,7500.0,4500.0
234,South Dakota,SD,03/29/2021,105,14040,14040,8300.0,8300.0,5000.0
235,Utah,UT,03/29/2021,105,46800,46800,27100.0,27100.0,16100.0
236,Wyoming,WY,03/29/2021,105,10530,10530,5700.0,5700.0,3400.0
237,Arizona,AZ,03/29/2021,105,114660,114660,67600.0,67600.0,40000.0
238,California,CA,03/29/2021,105,644670,644670,380300.0,380300.0,224600.0
239,Hawaii,HI,03/29/2021,105,24570,24570,14200.0,14200.0,8400.0
240,Nevada,NV,03/29/2021,105,49140,49140,28500.0,28500.0,16900.0
241,American Samoa,AS,03/29/2021,105,11700,0,5000.0,0.0,300.0
242,Guam,GU,03/29/2021,105,25740,0,15000.0,0.0,900.0
243,Marshall Islands,MH,03/29/2021,105,0,0,16800.0,0.0,400.0
244,Micronesia,FM,03/29/2021,105,0,0,22600.0,0.0,600.0
245,Mariana Islands,,03/29/2021,105,11700,0,5000.0,0.0,400.0
246,Palau,PW,03/29/2021,105,0,0,6200.0,0.0,200.0
247,Alaska,AK,03/29/2021,105,91260,79560,52500.0,52500.0,6300.0
248,Idaho,ID,03/29/2021,105,26910,26910,15800.0,15800.0,9500.0
249,Oregon,OR,03/29/2021,105,70200,70200,40800.0,40800.0,24200.0
250,Washington,WA,03/29/2021,105,122850,122850,72400.0,72400.0,42800.0
251,Federal Entities,,03/29/2021,105,201240,201240,143000.0,143000.0,16700.0
252,Connecticut,CT,03/22/2021,98,50310,50310,35800.0,35800.0,4200.0
253,Maine,ME,03/22/2021,98,19890,19890,13700.0,13700.0,1600.0
254,Massachusetts,MA,03/22/2021,98,95940,95940,69000.0,69000.0,8000.0
255,New Hampshire,NH,03/22/2021,98,19890,19890,13700.0,13700.0,1600.0
256,Rhode Island,RI,03/22/2021,98,15210,15210,10800.0,10800.0,1300.0
257,Vermont,VT,03/22/2021,98,9360,9360,6500.0,6500.0,800.0
258,New Jersey,NJ,03/22/2021,98,120510,120510,87400.0,87400.0,10200.0
259,New York,NY,03/22/2021,98,153270,153270,111300.0,111300.0,12900.0
260,New York City,,03/22/2021,98,117000,117000,84500.0,84500.0,9800.0
261,Puerto Rico,PR,03/22/2021,98,47970,47970,34200.0,34200.0,4000.0
262,U.S. Virgin Islands,,03/22/2021,98,2340,2340,1100.0,1100.0,200.0
263,Delaware,DE,03/22/2021,98,14040,14040,9500.0,9500.0,1100.0
264,District of Columbia,DC,03/22/2021,98,10530,10530,7200.0,7200.0,900.0
265,Maryland,MD,03/22/2021,98,81900,81900,59000.0,59000.0,6900.0
266,Pennsylvania,PA,03/22/2021,98,155610,155610,112400.0,112400.0,13000.0
267,Philadelphia,,03/22/2021,98,22230,22230,15600.0,15600.0,1800.0
268,Virginia,VA,03/22/2021,98,114660,114660,82800.0,82800.0,9600.0
269,West Virginia,WV,03/22/2021,98,25740,25740,18500.0,18500.0,2200.0
270,Alabama,AL,03/22/2021,98,66690,66690,47700.0,47700.0,5600.0
271,Florida,FL,03/22/2021,98,286650,286650,208000.0,208000.0,24100.0
272,Georgia,GA,03/22/2021,98,136890,136890,98600.0,98600.0,11500.0
273,Kentucky,KY,03/22/2021,98,60840,60840,43400.0,43400.0,5100.0
274,Mississippi,MS,03/22/2021,98,39780,39780,28700.0,28700.0,3400.0
275,North Carolina,NC,03/22/2021,98,138060,138060,99500.0,99500.0,11500.0
276,South Carolina,SC,03/22/2021,98,67860,67860,48800.0,48800.0,5700.0
277,Tennessee,TN,03/22/2021,98,90090,90090,65200.0,65200.0,7600.0
278,Chicago,,03/22/2021,98,37440,37440,26500.0,26500.0,3100.0
279,Illinois,IL,03/22/2021,98,136890,136890,98700.0,98700.0,11500.0
280,Indiana,IN,03/22/2021,98,88920,88920,64100.0,64100.0,7500.0
281,Michigan,MI,03/22/2021,98,135720,135720,98200.0,98200.0,11400.0
282,Minnesota,MN,03/22/2021,98,74880,74880,53800.0,53800.0,6300.0
283,Ohio,OH,03/22/2021,98,157950,157950,114100.0,114100.0,13200.0
284,Wisconsin,WI,03/22/2021,98,79560,79560,57100.0,57100.0,6700.0
285,Arkansas,AR,03/22/2021,98,39780,39780,28900.0,28900.0,3400.0
286,Louisiana,LA,03/22/2021,98,62010,62010,45000.0,45000.0,5200.0
287,New Mexico,NM,03/22/2021,98,29250,29250,20500.0,20500.0,2400.0
288,Oklahoma,OK,03/22/2021,98,52650,52650,37500.0,37500.0,4400.0
289,Texas,TX,03/22/2021,98,359190,359190,260400.0,260400.0,30200.0
290,Iowa,IA,03/22/2021,98,42120,42120,30400.0,30400.0,3600.0
291,Kansas,KS,03/22/2021,98,38610,38610,27800.0,27800.0,3300.0
292,Missouri,MO,03/22/2021,98,83070,83070,59500.0,59500.0,6900.0
293,Nebraska,NE,03/22/2021,98,25740,25740,18400.0,18400.0,2200.0
294,Colorado,CO,03/22/2021,98,74880,74880,54100.0,54100.0,6300.0
295,Montana,MT,03/22/2021,98,15210,15210,10400.0,10400.0,1200.0
296,North Dakota,ND,03/22/2021,98,10530,10530,7500.0,7500.0,900.0
297,South Dakota,SD,03/22/2021,98,11700,11700,8300.0,8300.0,1000.0
298,Utah,UT,03/22/2021,98,37440,37440,27100.0,27100.0,3200.0
299,Wyoming,WY,03/22/2021,98,8190,8190,5700.0,5700.0,700.0
300,Arizona,AZ,03/22/2021,98,93600,93600,67600.0,67600.0,7900.0
301,California,CA,03/22/2021,98,524160,524160,380300.0,380300.0,44000.0
302,Hawaii,HI,03/22/2021,98,19890,19890,14200.0,14200.0,1700.0
303,Nevada,NV,03/22/2021,98,39780,39780,28500.0,28500.0,3300.0
304,American Samoa,AS,03/22/2021,98,0,0,0.0,0.0,100.0
305,Guam,GU,03/22/2021,98,0,0,0.0,0.0,200.0
306,Marshall Islands,MH,03/22/2021,98,0,0,0.0,0.0,100.0
307,Micronesia,FM,03/22/2021,98,0,0,0.0,0.0,100.0
308,Mariana Islands,,03/22/2021,98,0,0,0.0,0.0,100.0
309,Palau,PW,03/22/2021,98,0,0,0.0,0.0,100.0
310,Alaska,AK,03/22/2021,98,0,0,0.0,0.0,1300.0
311,Idaho,ID,03/22/2021,98,22230,22230,15800.0,15800.0,1900.0
312,Oregon,OR,03/22/2021,98,57330,57330,40800.0,40800.0,4800.0
313,Washington,WA,03/22/2021,98,100620,100620,72400.0,72400.0,8400.0
314,Federal Entities,,03/22/2021,98,195390,195390,143000.0,143000.0,16700.0
315,Connecticut,CT,03/15/2021,91,49140,49140,35800.0,35800.0,4200.0
316,Maine,ME,03/15/2021,91,18720,18720,13700.0,13700.0,1600.0
317,Massachusetts,MA,03/15/2021,91,93600,93600,69000.0,69000.0,8000.0
318,New Hampshire,NH,03/15/2021,91,18720,18720,13700.0,13700.0,1600.0
319,Rhode Island,RI,03/15/2021,91,15210,15210,10800.0,10800.0,1300.0
320,Vermont,VT,03/15/2021,91,9360,9360,6500.0,6500.0,800.0
321,New Jersey,NJ,03/15/2021,91,119340,119340,87400.0,87400.0,10200.0
322,New York,NY,03/15/2021,91,150930,150930,111300.0,111300.0,12900.0
323,New York City,,03/15/2021,91,114660,114660,84500.0,84500.0,9800.0
324,Puerto Rico,PR,03/15/2021,91,46800,46800,34200.0,34200.0,4000.0
325,U.S. Virgin Islands,,03/15/2021,91,2340,2340,1100.0,1100.0,200.0
326,Delaware,DE,03/15/2021,91,12870,12870,9500.0,9500.0,1100.0
327,District of Columbia,DC,03/15/2021,91,10530,10530,7200.0,7200.0,900.0
328,Maryland,MD,03/15/2021,91,80730,80730,59000.0,59000.0,6900.0
329,Pennsylvania,PA,03/15/2021,91,153270,153270,112400.0,112400.0,13000.0
330,Philadelphia,,03/15/2021,91,22230,22230,15600.0,15600.0,1800.0
331,Virginia,VA,03/15/2021,91,112320,112320,82800.0,82800.0,9600.0
332,West Virginia,WV,03/15/2021,91,25740,25740,18500.0,18500.0,2200.0
333,Alabama,AL,03/15/2021,91,65520,65520,47700.0,47700.0,5600.0
334,Florida,FL,03/15/2021,91,281970,281970,208000.0,208000.0,24100.0
335,Georgia,GA,03/15/2021,91,134550,134550,98600.0,98600.0,11500.0
336,Kentucky,KY,03/15/2021,91,59670,59670,43400.0,43400.0,5100.0
337,Mississippi,MS,03/15/2021,91,39780,39780,28700.0,28700.0,3400.0
338,North Carolina,NC,03/15/2021,91,135720,135720,99500.0,99500.0,11500.0
339,South Carolina,SC,03/15/2021,91,66690,66690,48800.0,48800.0,5700.0
340,Tennessee,TN,03/15/2021,91,88920,88920,65200.0,65200.0,7600.0
341,Chicago,,03/15/2021,91,36270,36270,26500.0,26500.0,3100.0
342,Illinois,IL,03/15/2021,91,134550,134550,98700.0,98700.0,11500.0
343,Indiana,IN,03/15/2021,91,87750,87750,64100.0,64100.0,7500.0
344,Michigan,MI,03/15/2021,91,133380,133380,98200.0,98200.0,11400.0
345,Minnesota,MN,03/15/2021,91,73710,73710,53800.0,53800.0,6300.0
346,Ohio,OH,03/15/2021,91,155610,155610,114100.0,114100.0,13200.0
347,Wisconsin,WI,03/15/2021,91,78390,78390,57100.0,57100.0,6700.0
